Category,Numerical,Description,Salary,Rating,Boolean
Category C,331,Consectetur adipiscing elit,46705,5,True 
Category C,528,Sed do eiusmod tempor incididunt,105525,5,True 
Category C,248,Lorem ipsum dolor sit amet,75516,5,True 
Category C,16,Sed do eiusmod tempor incididunt,91186,5,True 
Category B,272,Ut labore et dolore magna aliqua,45187,5,True 
Category B,883,Sed do eiusmod tempor incididunt,37961,5,True 
Category B,136,Consectetur adipiscing elit,34895,5,True 
Category A,280,Lorem ipsum dolor sit amet,99293,5,True 
Category A,165,Sed do eiusmod tempor incididunt,52361,5,True 
Category C,960,Sed do eiusmod tempor incididunt,106975,5,True 
Category A,252,Lorem ipsum dolor sit amet,62246,5,True 
Category B,961,Sed do eiusmod tempor incididunt,94286,5,True 
Category B,353,Lorem ipsum dolor sit amet,89719,5,True 
Category A,970,Consectetur adipiscing elit,79967,5,True 
Category B,638,Lorem ipsum dolor sit amet,47765,5,True 
Category A,391,Consectetur adipiscing elit,69850,5,True 
Category B,744,Consectetur adipiscing elit,55679,5,True 
Category C,373,Ut labore et dolore magna aliqua,90411,5,True 
Category C,554,Consectetur adipiscing elit,82326,5,True 
Category C,994,Ut labore et dolore magna aliqua,44283,5,True 
Category A,756,Consectetur adipiscing elit,53328,5,True 
Category A,941,Sed do eiusmod tempor incididunt,94048,5,True 
Category B,331,Lorem ipsum dolor sit amet,33858,5,True 
Category C,393,Sed do eiusmod tempor incididunt,36583,5,True 
Category A,41,Sed do eiusmod tempor incididunt,54823,5,True 
Category A,380,Consectetur adipiscing elit,38285,5,True 
Category B,578,Ut labore et dolore magna aliqua,98340,5,True 
Category C,783,Consectetur adipiscing elit,32476,5,True 
Category C,118,Lorem ipsum dolor sit amet,88743,5,True 
Category C,584,Consectetur adipiscing elit,47172,5,True 
Category C,75,Ut labore et dolore magna aliqua,98025,5,True 
Category B,678,Consectetur adipiscing elit,74893,5,True 
Category C,460,Ut labore et dolore magna aliqua,109290,5,True 
Category B,781,Consectetur adipiscing elit,47109,5,True 
Category A,616,Lorem ipsum dolor sit amet,59942,5,True 
Category B,481,Sed do eiusmod tempor incididunt,53589,5,True 
Category C,370,Ut labore et dolore magna aliqua,61616,5,True 
Category C,47,Lorem ipsum dolor sit amet,55357,5,True 
Category C,554,Ut labore et dolore magna aliqua,92849,5,True 
Category B,209,Ut labore et dolore magna aliqua,109999,5,True 
Category C,132,Consectetur adipiscing elit,92088,5,True 
Category B,649,Consectetur adipiscing elit,61184,5,True 
Category A,449,Ut labore et dolore magna aliqua,97103,5,True 
Category A,924,Consectetur adipiscing elit,61729,5,True 
Category B,36,Lorem ipsum dolor sit amet,86269,5,True 
Category B,224,Sed do eiusmod tempor incididunt,108008,5,True 
Category B,126,Consectetur adipiscing elit,51973,5,True 
Category B,248,Ut labore et dolore magna aliqua,38935,5,True 
Category B,382,Sed do eiusmod tempor incididunt,65606,5,True 
Category C,119,Ut labore et dolore magna aliqua,37904,5,True 
Category B,372,Consectetur adipiscing elit,104602,5,True 
Category A,701,Ut labore et dolore magna aliqua,86504,5,True 
Category A,995,Consectetur adipiscing elit,43136,5,True 
Category B,680,Lorem ipsum dolor sit amet,94268,5,True 
Category A,682,Sed do eiusmod tempor incididunt,98101,5,True 
Category C,188,Consectetur adipiscing elit,68666,5,True 
Category C,463,Ut labore et dolore magna aliqua,92867,5,True 
Category A,277,Lorem ipsum dolor sit amet,107589,5,True 
Category C,462,Sed do eiusmod tempor incididunt,110965,5,True 
Category A,883,Lorem ipsum dolor sit amet,68017,5,True 
Category C,551,Sed do eiusmod tempor incididunt,40491,5,True 
Category C,789,Ut labore et dolore magna aliqua,117513,5,True 
Category C,989,Consectetur adipiscing elit,61143,5,True 
Category C,669,Consectetur adipiscing elit,115673,5,True 
Category A,78,Ut labore et dolore magna aliqua,69863,5,True 
Category A,3,Ut labore et dolore magna aliqua,65104,5,True 
Category C,240,Ut labore et dolore magna aliqua,69570,5,True 
Category C,21,Ut labore et dolore magna aliqua,67743,5,True 
Category B,771,Ut labore et dolore magna aliqua,111661,5,True 
Category A,49,Ut labore et dolore magna aliqua,117359,5,True 
Category C,513,Ut labore et dolore magna aliqua,97629,5,True 
Category B,139,Lorem ipsum dolor sit amet,53873,5,True 
Category B,20,Ut labore et dolore magna aliqua,109236,5,True 
Category B,75,Ut labore et dolore magna aliqua,97179,5,True 
Category A,492,Sed do eiusmod tempor incididunt,72945,5,True 
Category C,45,Sed do eiusmod tempor incididunt,73527,5,True 
Category C,402,Consectetur adipiscing elit,45402,5,True 
Category C,880,Ut labore et dolore magna aliqua,115682,5,True 
Category C,614,Lorem ipsum dolor sit amet,71829,5,True 
Category C,710,Ut labore et dolore magna aliqua,63232,5,True 
Category B,433,Sed do eiusmod tempor incididunt,118239,5,True 
Category B,254,Ut labore et dolore magna aliqua,116385,5,True 
Category C,106,Lorem ipsum dolor sit amet,116160,5,True 
Category A,57,Ut labore et dolore magna aliqua,83675,5,True 
Category A,437,Lorem ipsum dolor sit amet,99513,5,True 
Category B,678,Sed do eiusmod tempor incididunt,110897,5,True 
Category C,914,Lorem ipsum dolor sit amet,40865,5,True 
Category C,590,Ut labore et dolore magna aliqua,87043,5,True 
Category C,802,Consectetur adipiscing elit,75673,5,True 
Category A,295,Consectetur adipiscing elit,65798,5,True 
Category B,338,Ut labore et dolore magna aliqua,96193,5,True 
Category C,351,Ut labore et dolore magna aliqua,73112,5,True 
Category B,67,Lorem ipsum dolor sit amet,117176,5,True 
Category C,438,Lorem ipsum dolor sit amet,64667,5,True 
Category B,74,Lorem ipsum dolor sit amet,104956,5,True 
Category B,869,Lorem ipsum dolor sit amet,107788,5,True 
Category B,176,Lorem ipsum dolor sit amet,42264,5,True 
Category A,81,Consectetur adipiscing elit,116896,5,True 
Category C,37,Consectetur adipiscing elit,74512,5,True 
Category A,494,Ut labore et dolore magna aliqua,62677,5,True 
Category A,156,Ut labore et dolore magna aliqua,113944,5,True 
Category A,114,Sed do eiusmod tempor incididunt,75925,5,True 
Category A,814,Lorem ipsum dolor sit amet,77923,5,True 
Category B,398,Ut labore et dolore magna aliqua,31516,5,True 
Category A,982,Lorem ipsum dolor sit amet,111067,5,True 
Category A,539,Sed do eiusmod tempor incididunt,84563,5,True 
Category B,361,Consectetur adipiscing elit,48043,5,True 
Category B,355,Lorem ipsum dolor sit amet,77722,5,True 
Category B,835,Lorem ipsum dolor sit amet,84477,5,True 
Category B,920,Sed do eiusmod tempor incididunt,75440,5,True 
Category C,793,Lorem ipsum dolor sit amet,119776,5,True 
Category A,104,Lorem ipsum dolor sit amet,106273,5,True 
Category A,444,Sed do eiusmod tempor incididunt,119759,5,True 
Category C,968,Sed do eiusmod tempor incididunt,86785,5,True 
Category A,475,Ut labore et dolore magna aliqua,47820,5,True 
Category C,51,Ut labore et dolore magna aliqua,108940,5,True 
Category B,459,Sed do eiusmod tempor incididunt,86238,5,True 
Category A,21,Lorem ipsum dolor sit amet,37962,5,True 
Category B,738,Ut labore et dolore magna aliqua,34119,5,True 
Category C,135,Consectetur adipiscing elit,74705,5,True 
Category A,404,Sed do eiusmod tempor incididunt,62053,5,True 
Category A,209,Lorem ipsum dolor sit amet,85666,5,True 
Category A,685,Consectetur adipiscing elit,41929,5,True 
Category C,439,Lorem ipsum dolor sit amet,89077,5,True 
Category C,372,Consectetur adipiscing elit,91812,5,True 
Category C,914,Consectetur adipiscing elit,79484,5,True 
Category B,742,Ut labore et dolore magna aliqua,109575,5,True 
Category C,811,Consectetur adipiscing elit,99663,5,True 
Category C,658,Lorem ipsum dolor sit amet,30716,5,True 
Category A,741,Sed do eiusmod tempor incididunt,111924,5,True 
Category B,524,Sed do eiusmod tempor incididunt,114354,5,True 
Category A,44,Ut labore et dolore magna aliqua,87391,5,True 
Category A,87,Lorem ipsum dolor sit amet,50501,5,True 
Category C,305,Lorem ipsum dolor sit amet,92309,5,True 
Category C,547,Sed do eiusmod tempor incididunt,53153,5,True 
Category C,423,Consectetur adipiscing elit,64511,5,True 
Category B,734,Consectetur adipiscing elit,118783,5,True 
Category C,640,Sed do eiusmod tempor incididunt,63983,5,True 
Category C,117,Sed do eiusmod tempor incididunt,78753,5,True 
Category A,834,Consectetur adipiscing elit,85846,5,True 
Category B,925,Consectetur adipiscing elit,94486,5,True 
Category A,900,Sed do eiusmod tempor incididunt,106734,5,True 
Category C,679,Lorem ipsum dolor sit amet,48763,5,True 
Category C,980,Lorem ipsum dolor sit amet,87335,5,True 
Category A,755,Lorem ipsum dolor sit amet,88810,5,True 
Category C,584,Ut labore et dolore magna aliqua,96490,5,True 
Category B,886,Sed do eiusmod tempor incididunt,30033,5,True 
Category C,142,Ut labore et dolore magna aliqua,57027,5,True 
Category C,229,Ut labore et dolore magna aliqua,35592,5,True 
Category C,861,Lorem ipsum dolor sit amet,96499,5,True 
Category A,789,Sed do eiusmod tempor incididunt,75943,5,True 
Category B,970,Consectetur adipiscing elit,69568,5,True 
Category B,652,Ut labore et dolore magna aliqua,100539,5,True 
Category A,745,Ut labore et dolore magna aliqua,46995,5,True 
Category B,687,Lorem ipsum dolor sit amet,79521,5,True 
Category A,859,Lorem ipsum dolor sit amet,77815,5,True 
Category C,180,Sed do eiusmod tempor incididunt,90516,5,True 
Category C,209,Consectetur adipiscing elit,73688,5,True 
Category A,620,Sed do eiusmod tempor incididunt,105803,5,True 
Category B,613,Sed do eiusmod tempor incididunt,48012,5,True 
Category B,847,Ut labore et dolore magna aliqua,44456,5,True 
Category B,275,Ut labore et dolore magna aliqua,104502,5,True 
Category A,946,Consectetur adipiscing elit,117599,5,True 
Category B,617,Sed do eiusmod tempor incididunt,71364,5,True 
Category B,894,Sed do eiusmod tempor incididunt,84631,5,True 
Category C,944,Consectetur adipiscing elit,108278,5,True 
Category B,350,Lorem ipsum dolor sit amet,62754,5,True 
Category C,634,Sed do eiusmod tempor incididunt,57529,5,True 
Category A,988,Ut labore et dolore magna aliqua,99284,5,True 
Category C,995,Sed do eiusmod tempor incididunt,110528,5,True 
Category C,450,Sed do eiusmod tempor incididunt,41587,5,True 
Category C,255,Lorem ipsum dolor sit amet,55762,5,True 
Category B,861,Ut labore et dolore magna aliqua,39841,5,True 
Category B,452,Ut labore et dolore magna aliqua,115135,5,True 
Category B,893,Consectetur adipiscing elit,108442,5,True 
Category A,830,Ut labore et dolore magna aliqua,107876,5,True 
Category A,92,Lorem ipsum dolor sit amet,102272,5,True 
Category B,911,Consectetur adipiscing elit,31937,5,True 
Category B,494,Consectetur adipiscing elit,61211,5,True 
Category B,251,Sed do eiusmod tempor incididunt,46646,5,True 
Category A,511,Lorem ipsum dolor sit amet,42695,5,True 
Category B,353,Sed do eiusmod tempor incididunt,59315,5,True 
Category A,572,Lorem ipsum dolor sit amet,79229,5,True 
Category A,374,Ut labore et dolore magna aliqua,86447,5,True 
Category A,961,Consectetur adipiscing elit,42029,5,True 
Category C,923,Ut labore et dolore magna aliqua,59106,5,True 
Category A,291,Consectetur adipiscing elit,69538,5,True 
Category C,782,Sed do eiusmod tempor incididunt,97888,5,True 
Category B,783,Sed do eiusmod tempor incididunt,97856,5,True 
Category B,372,Ut labore et dolore magna aliqua,89787,5,True 
Category A,754,Ut labore et dolore magna aliqua,73361,5,True 
Category C,146,Ut labore et dolore magna aliqua,47219,5,True 
Category A,337,Lorem ipsum dolor sit amet,97050,5,True 
Category B,443,Ut labore et dolore magna aliqua,114323,5,True 
Category B,281,Consectetur adipiscing elit,58890,5,True 
Category B,282,Lorem ipsum dolor sit amet,99622,5,True 
Category B,976,Ut labore et dolore magna aliqua,63313,5,True 
Category B,854,Ut labore et dolore magna aliqua,86522,5,True 
Category A,629,Sed do eiusmod tempor incididunt,57888,5,True 
Category C,771,Lorem ipsum dolor sit amet,36331,5,True 
Category B,664,Sed do eiusmod tempor incididunt,76861,5,True 
Category A,150,Sed do eiusmod tempor incididunt,58357,5,True 
Category A,263,Ut labore et dolore magna aliqua,59997,5,True 
Category B,611,Ut labore et dolore magna aliqua,39144,5,True 
Category C,717,Sed do eiusmod tempor incididunt,96475,5,True 
Category B,137,Consectetur adipiscing elit,54231,5,True 
Category B,137,Lorem ipsum dolor sit amet,85173,5,True 
Category B,689,Sed do eiusmod tempor incididunt,73016,5,True 
Category B,979,Lorem ipsum dolor sit amet,83887,5,True 
Category B,129,Sed do eiusmod tempor incididunt,112247,5,True 
Category C,780,Consectetur adipiscing elit,79021,5,True 
Category A,515,Lorem ipsum dolor sit amet,110984,5,True 
Category C,822,Consectetur adipiscing elit,44322,5,True 
Category B,532,Consectetur adipiscing elit,66175,5,True 
Category B,162,Consectetur adipiscing elit,68339,5,True 
Category A,448,Ut labore et dolore magna aliqua,107645,5,True 
Category C,592,Lorem ipsum dolor sit amet,39911,5,True 
Category B,36,Lorem ipsum dolor sit amet,48635,5,True 
Category B,157,Lorem ipsum dolor sit amet,31411,5,True 
Category A,75,Ut labore et dolore magna aliqua,44325,5,True 
Category C,138,Sed do eiusmod tempor incididunt,91780,5,True 
Category A,468,Ut labore et dolore magna aliqua,99825,5,True 
Category B,162,Consectetur adipiscing elit,101326,5,True 
Category A,822,Lorem ipsum dolor sit amet,36465,5,True 
Category A,849,Ut labore et dolore magna aliqua,61223,5,True 
Category B,996,Consectetur adipiscing elit,56698,5,True 
Category C,823,Sed do eiusmod tempor incididunt,87327,5,True 
Category A,293,Ut labore et dolore magna aliqua,77631,5,True 
Category A,905,Consectetur adipiscing elit,33960,5,True 
Category A,485,Sed do eiusmod tempor incididunt,90509,5,True 
Category B,539,Consectetur adipiscing elit,52722,5,True 
Category C,607,Lorem ipsum dolor sit amet,62147,5,True 
Category A,336,Lorem ipsum dolor sit amet,50174,5,True 
Category B,794,Sed do eiusmod tempor incididunt,102158,5,True 
Category B,593,Consectetur adipiscing elit,94410,5,True 
Category A,482,Ut labore et dolore magna aliqua,110678,5,True 
Category A,904,Sed do eiusmod tempor incididunt,65408,5,True 
Category B,886,Consectetur adipiscing elit,72248,5,True 
Category A,913,Lorem ipsum dolor sit amet,35126,5,True 
Category B,121,Consectetur adipiscing elit,41868,5,True 
Category C,248,Consectetur adipiscing elit,105540,5,True 
Category C,126,Consectetur adipiscing elit,72419,5,True 
Category B,268,Ut labore et dolore magna aliqua,97683,5,True 
Category A,184,Sed do eiusmod tempor incididunt,35384,5,True 
Category C,919,Consectetur adipiscing elit,100695,5,True 
Category A,85,Sed do eiusmod tempor incididunt,46527,5,True 
Category B,440,Ut labore et dolore magna aliqua,64855,5,True 
Category C,883,Sed do eiusmod tempor incididunt,52264,5,True 
Category C,805,Sed do eiusmod tempor incididunt,96350,5,True 
Category B,394,Sed do eiusmod tempor incididunt,119700,5,True 
Category C,814,Ut labore et dolore magna aliqua,111256,5,True 
Category B,414,Sed do eiusmod tempor incididunt,92743,5,True 
Category C,375,Consectetur adipiscing elit,107089,5,True 
Category C,360,Sed do eiusmod tempor incididunt,104330,5,True 
Category C,873,Ut labore et dolore magna aliqua,36086,5,True 
Category C,232,Lorem ipsum dolor sit amet,81141,5,True 
Category A,997,Consectetur adipiscing elit,115155,5,True 
Category A,503,Consectetur adipiscing elit,51455,5,True 
Category C,530,Consectetur adipiscing elit,82988,5,True 
Category C,28,Ut labore et dolore magna aliqua,68751,5,True 
Category B,159,Sed do eiusmod tempor incididunt,115970,5,True 
Category C,102,Sed do eiusmod tempor incididunt,41719,5,True 
Category C,415,Ut labore et dolore magna aliqua,112523,5,True 
Category B,967,Ut labore et dolore magna aliqua,47950,5,True 
Category A,532,Sed do eiusmod tempor incididunt,109975,5,True 
Category C,895,Ut labore et dolore magna aliqua,37151,5,True 
Category A,67,Consectetur adipiscing elit,72571,5,True 
Category B,485,Ut labore et dolore magna aliqua,107026,5,True 
Category C,505,Consectetur adipiscing elit,43037,5,True 
Category C,308,Consectetur adipiscing elit,100733,5,True 
Category B,384,Sed do eiusmod tempor incididunt,67357,5,True 
Category A,192,Ut labore et dolore magna aliqua,65204,5,True 
Category A,285,Lorem ipsum dolor sit amet,83352,5,True 
Category B,726,Sed do eiusmod tempor incididunt,100751,5,True 
Category C,138,Ut labore et dolore magna aliqua,107992,5,True 
Category C,693,Sed do eiusmod tempor incididunt,61483,5,True 
Category A,864,Lorem ipsum dolor sit amet,82826,5,True 
Category B,853,Lorem ipsum dolor sit amet,119364,5,True 
Category B,28,Lorem ipsum dolor sit amet,115335,5,True 
Category C,572,Sed do eiusmod tempor incididunt,86627,5,True 
Category A,656,Ut labore et dolore magna aliqua,107585,5,True 
Category C,814,Sed do eiusmod tempor incididunt,39911,5,True 
Category B,816,Consectetur adipiscing elit,119906,5,True 
Category A,774,Consectetur adipiscing elit,41020,5,True 
Category C,202,Lorem ipsum dolor sit amet,102030,5,True 
Category A,16,Consectetur adipiscing elit,114457,5,True 
Category B,835,Lorem ipsum dolor sit amet,30205,5,True 
Category C,997,Sed do eiusmod tempor incididunt,46149,5,True 
Category A,694,Ut labore et dolore magna aliqua,112180,5,True 
Category B,968,Sed do eiusmod tempor incididunt,105599,5,True 
Category A,269,Ut labore et dolore magna aliqua,74916,5,True 
Category A,598,Consectetur adipiscing elit,64348,5,True 
Category B,284,Consectetur adipiscing elit,50190,5,True 
Category B,562,Ut labore et dolore magna aliqua,115301,5,True 
Category C,687,Consectetur adipiscing elit,86375,5,True 
Category B,82,Consectetur adipiscing elit,63471,5,True 
Category A,845,Ut labore et dolore magna aliqua,117524,5,True 
Category A,112,Lorem ipsum dolor sit amet,79224,5,True 
Category C,507,Lorem ipsum dolor sit amet,90144,5,True 
Category A,63,Sed do eiusmod tempor incididunt,82263,5,True 
Category B,499,Lorem ipsum dolor sit amet,76423,5,True 
Category A,61,Lorem ipsum dolor sit amet,36528,5,True 
Category A,396,Ut labore et dolore magna aliqua,95782,5,True 
Category B,163,Lorem ipsum dolor sit amet,63745,5,True 
Category C,788,Ut labore et dolore magna aliqua,97954,5,True 
Category C,355,Sed do eiusmod tempor incididunt,112163,5,True 
Category C,887,Ut labore et dolore magna aliqua,80286,5,True 
Category C,285,Ut labore et dolore magna aliqua,110823,5,True 
Category B,611,Lorem ipsum dolor sit amet,32441,5,True 
Category B,366,Lorem ipsum dolor sit amet,116343,5,True 
Category B,846,Consectetur adipiscing elit,63074,5,True 
Category A,239,Ut labore et dolore magna aliqua,93420,5,True 
Category C,765,Lorem ipsum dolor sit amet,30204,5,True 
Category B,569,Sed do eiusmod tempor incididunt,108875,5,True 
Category B,180,Sed do eiusmod tempor incididunt,104489,5,True 
Category B,596,Ut labore et dolore magna aliqua,102242,5,True 
Category A,354,Lorem ipsum dolor sit amet,108680,5,True 
Category A,994,Sed do eiusmod tempor incididunt,108095,5,True 
Category B,891,Lorem ipsum dolor sit amet,57605,5,True 
Category C,402,Consectetur adipiscing elit,73176,5,True 
Category A,980,Consectetur adipiscing elit,116090,5,True 
Category C,317,Sed do eiusmod tempor incididunt,41293,5,True 
Category C,724,Sed do eiusmod tempor incididunt,69901,5,True 
Category C,659,Ut labore et dolore magna aliqua,45200,5,True 
Category C,909,Consectetur adipiscing elit,90188,5,True 
Category C,445,Consectetur adipiscing elit,110693,5,True 
Category A,616,Lorem ipsum dolor sit amet,87689,5,True 
Category B,871,Lorem ipsum dolor sit amet,39916,5,True 
Category C,890,Consectetur adipiscing elit,57254,5,True 
Category A,353,Consectetur adipiscing elit,81624,5,True 
Category C,304,Sed do eiusmod tempor incididunt,33709,5,True 
Category C,804,Lorem ipsum dolor sit amet,101486,5,True 
Category A,716,Sed do eiusmod tempor incididunt,119244,5,True 
Category A,786,Consectetur adipiscing elit,105250,5,True 
Category C,927,Lorem ipsum dolor sit amet,53181,5,True 
Category C,397,Ut labore et dolore magna aliqua,88119,5,True 
Category C,963,Consectetur adipiscing elit,49253,5,True 
Category A,214,Ut labore et dolore magna aliqua,60035,5,True 
Category A,200,Lorem ipsum dolor sit amet,79769,5,True 
Category A,848,Lorem ipsum dolor sit amet,67432,5,True 
Category B,410,Lorem ipsum dolor sit amet,79300,5,True 
Category B,583,Sed do eiusmod tempor incididunt,53908,5,True 
Category A,510,Lorem ipsum dolor sit amet,86573,5,True 
Category B,912,Sed do eiusmod tempor incididunt,108438,5,True 
Category B,800,Sed do eiusmod tempor incididunt,88782,5,True 
Category A,145,Sed do eiusmod tempor incididunt,35484,5,True 
Category C,121,Ut labore et dolore magna aliqua,50130,5,True 
Category C,379,Sed do eiusmod tempor incididunt,89027,5,True 
Category A,991,Lorem ipsum dolor sit amet,46222,5,True 
Category C,591,Sed do eiusmod tempor incididunt,45811,5,True 
Category B,589,Consectetur adipiscing elit,76048,5,True 
Category C,448,Consectetur adipiscing elit,49946,5,True 
Category C,86,Sed do eiusmod tempor incididunt,60964,5,True 
Category B,27,Sed do eiusmod tempor incididunt,69251,5,True 
Category A,626,Lorem ipsum dolor sit amet,69920,5,True 
Category B,576,Lorem ipsum dolor sit amet,42321,5,True 
Category B,312,Sed do eiusmod tempor incididunt,37850,5,True 
Category C,641,Ut labore et dolore magna aliqua,108180,5,True 
Category C,13,Ut labore et dolore magna aliqua,40325,5,True 
